,fecha,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,,,,DATO REAL,PRONOSTICADO A 252,DIFERENCIA,PRONOSTICADO A 230,Diferencia
2020.512,06/07/2020,3.870810251,2.76696124,4.974659261,2.182618871,5.55900163,,,,,,,,,
2020.516,07/07/2020,3.893151517,2.783724401,5.002578634,2.196429161,5.589873873,,,,,,,,,
2020.52,09/07/2020,3.863004066,2.748024234,4.977983898,2.157789564,5.568218567,,,,,,,,,
2020.524,10/07/2020,3.896507215,2.775999679,5.017014751,2.18283882,5.61017561,,,,,,,,,
2020.528,12/07/2020,3.89384709,2.767836493,5.019857688,2.171762488,5.615931692,,,,,,,,,
2020.532,13/07/2020,3.911554837,2.780065459,5.043044215,2.181091164,5.64201851,,,,,,,,,
2020.536,15/07/2020,3.960119222,2.823174993,5.097063451,2.221313074,5.69892537,,,,,,,,,
2020.54,16/07/2020,3.850701871,2.708326377,4.993077365,2.103589319,5.597814422,,,,,,,,,
2020.544,18/07/2020,3.828568274,2.680784764,4.976351784,2.073184876,5.583951672,,,,,,,,,
2020.548,19/07/2020,3.750175305,2.5970067,4.90334391,1.986556116,5.513794495,,,,,,,,,
2020.552,21/07/2020,3.791158197,2.632627098,4.949689296,2.019337781,5.562978613,,,,,,,,,
2020.556,22/07/2020,3.840593896,2.676722591,5.004465202,2.060606338,5.620581454,,,,,,,,,
2020.56,23/07/2020,3.8769072,2.707717668,5.046096732,2.088786117,5.665028283,,,,,,,,,
2020.563,25/07/2020,3.817514228,2.643028151,4.992000305,2.021292778,5.613735679,,,,,,,,,
2020.567,26/07/2020,3.777330673,2.597569438,4.957091907,1.973041565,5.58161978,,,,,,,,,
2020.571,27/07/2020,3.830415315,2.645400024,5.015430607,2.018090822,5.642739809,,,,,,,,,
2020.575,29/07/2020,3.866310058,2.676061531,5.056558585,2.045982021,5.686638095,,,,,,,,,
2020.579,30/07/2020,3.918756518,2.723295301,5.114217734,2.09045636,5.747056675,,,,,,,,,
2020.583,01/08/2020,3.872892334,2.672238705,5.073545963,2.036651066,5.709133601,,,,,,,,,
2020.587,02/08/2020,3.910877798,2.705051771,5.116703825,2.066726031,5.755029565,,,,,,,,,
2020.591,04/08/2020,3.94841355,2.737434882,5.159392217,2.096381498,5.800445601,,,,,,,,,
2020.595,05/08/2020,3.939853367,2.723741563,5.155965171,2.079970862,5.799735873,,,,,,,,,
2020.599,07/08/2020,3.938855553,2.71762987,5.160081235,2.071152045,5.806559061,,,,,,,,,
2020.603,08/08/2020,3.892758583,2.666438038,5.119079128,2.017263155,5.768254011,,,,,,,,,
2020.607,10/08/2020,3.86132623,2.629929601,5.09272286,1.978067601,5.744584859,,,,,,,,,
2020.611,11/08/2020,3.865126026,2.628671859,5.101580193,1.97413256,5.756119492,,,,,,,,,
2020.615,13/08/2020,3.856893449,2.615400063,5.098386836,1.958193163,5.755593736,,,,,,,,,
2020.619,14/08/2020,3.841850804,2.595336293,5.088365314,1.935471371,5.748230236,,,,,,,,,
2020.623,16/08/2020,3.780861133,2.529343376,5.03237889,1.866829894,5.694892372,,,,,,,,,
2020.627,17/08/2020,3.790182072,2.53367873,5.046685415,1.868526039,5.711838105,,,,,,,,,
2020.631,18/08/2020,3.848608908,2.587137432,5.110080383,1.91935477,5.777863045,,,,,,,,,
2020.635,20/08/2020,3.815369397,2.548947032,5.081791761,1.878543529,5.752195264,,,,,,,,,
2020.639,21/08/2020,3.899515667,2.628159458,5.170871877,1.955144134,5.843887201,,,,,,,,,
2020.643,23/08/2020,3.963700361,2.687427149,5.239973572,2.011808922,5.915591799,,,,,,,,,
2020.647,24/08/2020,3.951059933,2.669886369,5.232233497,1.991674052,5.910445814,,,,,,,,,
2020.651,26/08/2020,3.957217823,2.671160365,5.243275282,1.99036267,5.924072976,,,,,,,,,
2020.655,27/08/2020,3.925075901,2.634150818,5.216000984,1.950776359,5.899375444,,,,,,,,,
2020.659,29/08/2020,3.948181001,2.652404379,5.243957623,1.96646167,5.929900332,,,,,,,,,
2020.663,30/08/2020,3.948751705,2.648139449,5.249363962,1.959636909,5.937866501,,,,,,,,,
2020.667,01/09/2020,3.95219877,2.646766606,5.257630934,1.955712562,5.948684978,,,,,,,,,
2020.671,02/09/2020,3.973939296,2.663702777,5.284175815,1.970105461,5.977773132,,,,,,,,,
2020.675,04/09/2020,3.941488285,2.626462792,5.256513779,1.930330346,5.952646225,,,,,,,,,
2020.679,05/09/2020,3.931978607,2.612179352,5.251777863,1.913519829,5.950437386,,,,,,,,,
2020.683,06/09/2020,3.925479076,2.600921106,5.250037046,1.899742472,5.95121568,,,,,,,,,
2020.687,08/09/2020,3.945986336,2.616684536,5.275288137,1.912994669,5.978978003,,,,,,,,,
2020.69,09/09/2020,3.967603067,2.633572161,5.301633973,1.927378857,6.007827277,,,,,,,,,
2020.694,11/09/2020,4.013099291,2.674353847,5.351844735,1.965664817,6.060533764,,,,,,,,,
2020.698,12/09/2020,4.017617888,2.674172319,5.361063456,1.962995194,6.072240582,,,,,,,,,
2020.702,13/09/2020,4.008475061,2.66034363,5.356606493,1.946685958,6.070264164,,,,,,,,,
2020.706,15/09/2020,4.074550382,2.721747199,5.427353564,2.005616453,6.143484311,,,,,,,,,
2020.71,16/09/2020,4.071339059,2.713878091,5.428800026,1.995281663,6.147396455,,,,,,,,,
2020.714,18/09/2020,4.057284916,2.695179985,5.419389846,1.974125191,6.140444641,,,,,,,,,
2020.718,19/09/2020,4.115301514,2.7485663,5.482036728,2.025060382,6.205542647,,,,,,,,,
2020.722,21/09/2020,4.128100842,2.756748885,5.499452799,2.03079901,6.225402674,,,,,,,,,
2020.726,22/09/2020,4.129385254,2.753429956,5.505340552,2.02504322,6.233727288,,,,,,,,,
2020.73,24/09/2020,4.15643085,2.77588548,5.53697622,2.045068906,6.267792794,,,,,,,,,
2020.734,25/09/2020,4.162993767,2.77787146,5.548116075,2.044632002,6.281355533,,,,,,,,,
2020.738,27/09/2020,4.185395493,2.795709253,5.575081734,2.060053795,6.310737192,,,,,,,,,
2020.742,28/09/2020,4.168288723,2.774051426,5.562526021,2.035986783,6.300590663,,,,,,,,,
2020.746,30/09/2020,4.153535959,2.754760353,5.552311565,2.014293276,6.292778643,,,,,,,,,
2020.75,01/10/2020,4.127502476,2.724201187,5.530803766,1.981338357,6.273666596,,,,,,,,,
2020.754,02/10/2020,4.121744818,2.713930347,5.52955929,1.968678383,6.274811254,,,,,,,,,
2020.758,04/10/2020,4.214175349,2.801860077,5.626490621,2.054225533,6.374125165,,,,,,,,,
2020.762,05/10/2020,4.222900288,2.806096477,5.639704099,2.056085844,6.389714731,,,,,,,,,
2020.766,07/10/2020,4.187100422,2.765820217,5.608380627,2.013439925,6.360760919,,,,,,,,,
2020.77,08/10/2020,4.20398764,2.778243071,5.629732208,2.023499487,6.384475792,,,,,,,,,
2020.774,10/10/2020,4.284981635,2.854784619,5.715178652,2.097684052,6.472279219,,,,,,,,,
2020.778,11/10/2020,4.295308976,2.860671316,5.729946635,2.101220013,6.489397938,,,,,,,,,
2020.782,13/10/2020,4.326072215,2.887005606,5.765138825,2.12520976,6.526934671,,,,,,,,,
2020.786,14/10/2020,4.32728909,2.883805117,5.770773063,2.119670859,6.534907321,,,,,,,,,
2020.79,16/10/2020,4.254026636,2.806136777,5.701916495,2.039670184,6.468383087,,,,,,,,,
2020.794,17/10/2020,4.220190922,2.767906551,5.672475293,1.999113644,6.4412682,,,,,,,,,
2020.798,19/10/2020,4.238194192,2.781526578,5.694861806,2.010413323,6.465975061,,,,,,,,,
2020.802,20/10/2020,4.166424551,2.705384861,5.627464241,1.931957169,6.400891933,,,,,,,,,
2020.806,21/10/2020,4.046506522,2.581105823,5.511907222,1.805369552,6.287643493,,,,,,,,,
2020.81,23/10/2020,3.979219649,2.509468907,5.448970391,1.731429862,6.227009436,,,,,,,,,
2020.813,24/10/2020,4.007962005,2.533872089,5.482051921,1.753536024,6.262387986,,,,,,,,,
2020.817,26/10/2020,3.919958508,2.441540191,5.398376826,1.658912808,6.181004209,,,,,,,,,
2020.821,27/10/2020,3.88575444,2.403018397,5.368490483,1.618105349,6.15340353,,,,,,,,,
2020.825,28/10/2020,3.942631623,2.455588439,5.429674808,1.668395328,6.216867919,,,,,,,,,
2020.829,30/10/2020,3.956288451,2.464948616,5.447628287,1.675480995,6.237095908,,,,,,,,,
2020.833,31/10/2020,3.959713157,2.46408707,5.455339245,1.672350444,6.24707587,,,,,,,,,
2020.837,02/11/2020,3.94536931,2.445467279,5.44527134,1.651467106,6.239271513,,,,,,,,,
2020.841,03/11/2020,3.982046704,2.477878951,5.486214457,1.681620641,6.282472766,,,,,,,,,
2020.845,05/11/2020,4.091974899,2.583551557,5.600398241,1.785040474,6.398909324,,,,,,,,,
2020.849,06/11/2020,4.023322304,2.510653418,5.535991189,1.709894881,6.336749727,,,,,,,,,
2020.853,08/11/2020,3.958234049,2.441329581,5.475138516,1.638328862,6.278139235,,,,,,,,,
2020.857,09/11/2020,3.927252819,2.406122646,5.448382991,1.600884974,6.253620663,,,,,,,,,
2020.861,11/11/2020,3.968736919,2.443390836,5.494083003,1.635921396,6.301552443,,,,,,,,,
2020.865,12/11/2020,4.028161016,2.498608734,5.557713297,1.688912666,6.367409365,,,,,,,,,
2020.869,14/11/2020,4.073612205,2.539863357,5.607361054,1.727945761,6.41927865,,,,,,,,,
2020.873,15/11/2020,4.110232497,2.572296634,5.648168361,1.758162566,6.462302429,,,,,,,,,
2020.877,16/11/2020,4.060450673,2.518337268,5.602564079,1.701991742,6.418909604,,,,,,,,,
2020.881,18/11/2020,4.032782035,2.486500483,5.579063587,1.667948475,6.397615596,,,,,,,,,
