"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2021.052","2021-01-19",4.30936914613289,3.14634669952935,5.47239159273643,2.53067980592993,6.08805848633585
"2021.057","2021-01-21",4.25940004436444,3.09066498484395,5.42813510388492,2.47197401663686,6.04682607209201
"2021.061","2021-01-23",4.19723134547099,3.0228088684292,5.37165382251277,2.40110716325125,5.99335552769072
"2021.065","2021-01-24",4.19804967208206,3.0179646074485,5.37813473671562,2.39326530947039,6.00283403469373
"2021.070","2021-01-26",4.16982768311783,2.98410450391197,5.3555508623237,2.35642056836764,5.98323479786803
"2021.074","2021-01-28",4.13194996296302,2.94061279357315,5.32328713235288,2.30995699114236,5.95394293478368
"2021.078","2021-01-29",4.1456349457994,2.9487075699958,5.34256232160299,2.31509249104599,5.97617740055281
"2021.083","2021-01-31",4.15889678510061,2.9564026537937,5.36139091640753,2.31984071248696,5.99795285771427
"2021.087","2021-02-01",4.14107246729471,2.93303470604865,5.34911022854077,2.29353814431918,5.98860679027024
"2021.091","2021-02-03",4.08906423843515,2.8755056547467,5.30262282212361,2.23308654615397,5.94504193071634
"2021.096","2021-02-05",4.09555415224444,2.87649724259633,5.31461106189255,2.23116749605894,5.95994080842994
"2021.100","2021-02-06",4.11751233236459,2.8929792890624,5.34204537566678,2.24475065247728,5.9902740122519
"2021.104","2021-02-07",4.0621431677827,2.83215588558362,5.29213044998178,2.1810399493351,5.94324638623029
"2021.109","2021-02-09",4.08463918866288,2.84921927120448,5.32005910612129,2.19522747156748,5.97405090575828
"2021.113","2021-02-11",4.16938807190438,2.92855683794103,5.41021930586774,2.27170046038242,6.06707568342635
"2021.117","2021-02-12",4.21466977076522,2.96844826021954,5.46089128131091,2.30873844260156,6.12060109892889
"2021.122","2021-02-14",4.24460098643238,2.99300996626866,5.4961920065961,2.33045770195815,6.15874427090662
"2021.126","2021-02-15",4.2481720857819,2.9912320557082,5.50511211585561,2.32584819659509,6.17049597496872
"2021.130","2021-02-17",4.29617872648785,3.0339099244931,5.55844752848261,2.36570518392157,6.22665226905413
"2021.135","2021-02-19",4.31587455178275,3.04829695951497,5.58345214405053,2.37728191513056,6.25446718843494
"2021.139","2021-02-20",4.25362473931502,2.98075808730648,5.52649139132356,2.30694318382205,6.20030629480799
"2021.143","2021-02-22",4.15766376379518,2.87952753654002,5.43579999105035,2.2029230884237,6.11240443916666
