"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2020.306","2020-04-21",4.05155614209837,3.28724928993928,4.81586299425747,2.88264968242548,5.22046260177127
"2020.310","2020-04-23",4.09160375087704,3.31944924077851,4.86375826097557,2.91069533409385,5.27251216766022
"2020.313","2020-04-24",4.10499008343325,3.32506336235251,4.88491680451399,2.91219509570361,5.29778507116289
"2020.317","2020-04-26",4.07186288485737,3.28423716465881,4.85948860505594,2.8672932940656,5.27643247564914
"2020.321","2020-04-27",4.03163862164903,3.23638498629456,4.82689225700349,2.81540314133347,5.24787410196459
"2020.325","2020-04-28",3.93617822516337,3.13336573084932,4.73899071947741,2.70838246766246,5.16397398266427
"2020.329","2020-04-30",3.93596143478018,3.12565720360606,4.74626566595429,2.69670805448659,5.17521481507376
"2020.333","2020-05-01",3.96195346160562,3.14422276930222,4.77968415390901,2.71134228913471,5.21256463407653
"2020.337","2020-05-03",3.91111325527819,3.08601961347045,4.73620689708594,2.64924142327824,5.17298508727815
"2020.341","2020-05-04",3.88683390962087,3.05443914305552,4.71922867618622,2.61379597088259,5.15987184835915
"2020.345","2020-05-06",3.86389000279454,3.02425432192184,4.70352568366724,2.57977804125522,5.14800196433386
"2020.349","2020-05-07",3.87417550204198,3.02735757130457,4.72099343277939,2.57907923722431,5.16927176685966
"2020.353","2020-05-09",3.91930570443104,3.06536270658093,4.77324870228114,2.61331258980741,5.22529881905466
"2020.357","2020-05-10",3.85810019789657,2.99708789463219,4.71911250116096,2.54129551362549,5.17490488216766
"2020.361","2020-05-12",3.80628471581773,2.93825750500733,4.67431192662812,2.47875165625944,5.13381777537601
"2020.365","2020-05-13",3.7852493937271,2.9102603634616,4.66023842399261,2.44706915011026,5.12342963734394
"2020.369","2020-05-15",3.80206729843136,2.92016827812879,4.68396631873393,2.45331913701059,5.15081545985214
"2020.373","2020-05-16",3.81505520427991,2.92629681304506,4.70381359551477,2.45581654029542,5.17429386826441
"2020.377","2020-05-17",3.78472103716064,2.88915272958639,4.68028934473489,2.4150675048854,5.15437456943587
"2020.381","2020-05-19",3.77985545057745,2.87752556015926,4.68218534099563,2.39986096971388,5.15984993144102
"2020.385","2020-05-20",3.78394680922788,2.8749025895488,4.69299102890696,2.39368364789487,5.1742099705609
"2020.389","2020-05-22",3.7716058737994,2.85589353763067,4.68731820996813,2.37114470833154,5.17206703926726
"2020.393","2020-05-23",3.73115995934846,2.80882471579933,4.65349520289759,2.32056993111182,5.1417499875851
"2020.397","2020-05-25",3.66245302285311,2.7335391126932,4.59136693301303,2.24180179226605,5.08310425344017
"2020.401","2020-05-26",3.6397494516021,2.70430018087016,4.57519872233403,2.20910324953553,5.07039565366866
"2020.405","2020-05-28",3.63781391737199,2.69587168937654,4.57975614536743,2.19723759409002,5.07839024065395
"2020.409","2020-05-29",3.6082708925971,2.65987723840635,4.55666454678784,2.15782796438743,5.05871382080676
"2020.413","2020-05-31",3.63591523359722,2.68111084110881,4.59071962608563,2.17566792722943,5.09616253996502
"2020.417","2020-06-01",3.62700800109995,2.66583274277432,4.58818325942557,2.15701729624005,5.09699870595984
"2020.421","2020-06-03",3.62849154418289,2.66098450351829,4.59599858484748,2.14881721388335,5.10816587448242
"2020.425","2020-06-04",3.70346444848791,2.72966394530936,4.67726495166645,2.21416509786377,5.19276379911205
